Date,ElCons,Heat,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
01/01/2019,799.86,3192,1.5,-1,2.7,4.5,0.5
02/01/2019,787.14,3994,0.2,-1,-2.9,2.2,-6.1
03/01/2019,696.91,5048,1.8,-1,-9.1,-6.1,-11.1
04/01/2019,789.18,4093,0.5,0,-1.2,1.2,-12.1
05/01/2019,677.54,4550,-1,2,-4.7,-0.3,-5.4
06/01/2019,687.89,4478,0.8,2,-3.5,0.5,-7.6
07/01/2019,1064.79,3595,3.5,-1,1.3,2.6,-0.2
08/01/2019,1092.52,3539,12.2,0,0.4,1.8,-0.9
09/01/2019,1002.54,3822,0.8,14,-1.9,0,-4.1
10/01/2019,999.38,4289,0.5,13,-4.1,-3.1,-6.1
11/01/2019,995.48,3538,-1,11,1.4,2.1,-3.8
12/01/2019,667.6,3783,-1,8,-1.3,2,-3.6
13/01/2019,667.79,3905,5.5,8,-2.2,1.1,-6.3
14/01/2019,998.24,3781,1.1,11,-2,0.7,-4.8
15/01/2019,984.99,4399,0.6,12,-6.1,-4.4,-9.6
16/01/2019,982.24,4519,11.2,14,-5.3,-3.4,-8.7
17/01/2019,989.61,4271,0.8,24,-4.5,-1.2,-7.5
18/01/2019,970.5,5002,-1,23,-9.2,-6.1,-11.4
19/01/2019,972.4,4752,2.2,22,-5.2,0.6,-13
20/01/2019,964.5,4975,-1,23,-7.9,-0.4,-11.7
21/01/2019,956.25,6050,-1,21,-15.1,-11.4,-17.3
22/01/2019,981.19,5995,0.3,21,-13.8,-5.3,-20.3
23/01/2019,994.72,4439,1.8,21,-1.7,0.1,-5.6
24/01/2019,941.62,5183,-1,22,-7.8,-1.2,-10.7
25/01/2019,970.35,4619,2.1,21,-3.6,-2.1,-10.1
26/01/2019,650.84,5049,2.5,23,-8.2,-4.7,-9.9
27/01/2019,644.29,5729,-1,29,-13.8,-9.8,-16
28/01/2019,982.85,5200,12.3,27,-7.3,-5.1,-15.9
29/01/2019,975.4,4663,8.6,36,-4.5,-3.8,-5.6
30/01/2019,987.22,4104,1.2,42,-0.8,0.8,-4.7
31/01/2019,970.4,3964,-1,40,-0.8,0.7,-3.4
01/02/2019,969.85,4386,0.8,39,-3.6,-1.3,-5.8
02/02/2019,659.7,4302,8.1,37,-2.6,-1.9,-4.4
03/02/2019,667.94,4015,5.7,42,-0.6,2,-3.3
04/02/2019,753.3,4297,1.6,39,-3.5,1.2,-5.8
05/02/2019,953.39,3840,5.2,39,0,1.2,-5.7
06/02/2019,1007.79,4276,2.2,44,-3.7,-0.2,-7.8
07/02/2019,849.99,3804,1.1,46,0.1,1.7,-6
08/02/2019,947.87,3488,0.5,43,1.5,2.4,0.7
09/02/2019,670.46,3378,5.9,34,2,2.7,1.6
10/02/2019,675.1,3308,2.5,31,2.2,3.1,0.5
11/02/2019,984.52,3342,7.3,28,1.3,2.8,0.4
12/02/2019,954.54,3695,-1,27,-1.1,0.7,-2.3
13/02/2019,984.67,3664,1.9,27,-0.1,1.1,-3.7
14/02/2019,927.73,3304,-1,28,2.3,2.9,0.7
15/02/2019,930.58,2931,-1,26,5,7.7,1.9
16/02/2019,668.72,3100,-1,25,3,6.9,0.9
17/02/2019,663.4,3375,-1,22,1.2,4,-0.9
18/02/2019,723.67,3506,-1,22,0.7,2.5,-2.7
19/02/2019,731.03,3236,3.7,19,2.1,2.2,1.6
20/02/2019,745.5,3554,0.1,17,-0.6,2.8,-3.8
21/02/2019,721.64,4546,-1,16,-6.4,-3.8,-8.3
22/02/2019,698.97,4812,1.6,16,-6.2,-2.2,-10.8
23/02/2019,655.98,3718,-1,16,1.8,5.2,-4.5
24/02/2019,659.73,3481,-1,16,2.7,4.5,0.9
25/02/2019,981.01,2913,0.9,14,5.2,7.8,4.2
26/02/2019,966.36,3252,-1,13,2.1,4.8,1.1
27/02/2019,985.9,3012,-1,12,3.5,5.7,-0.5
28/02/2019,963.63,3053,0.5,11,2,5.1,-1.2
01/03/2019,928.45,4164,-1,10,-4.9,-1.1,-7.6
02/03/2019,675.5,3536,-1,10,0.5,3.1,-5.2
03/03/2019,665.5,4238,-1,10,-4.9,1.5,-7.9
04/03/2019,982.19,3996,3.8,9,-2.7,-1.3,-4.9
05/03/2019,956.66,4126,-1,14,-4.6,-1.3,-7.4
06/03/2019,983.63,4719,0.2,13,-6.9,-2.7,-14.3
07/03/2019,1004.76,3748,8.7,12,0.2,0.7,-2.8
08/03/2019,969.53,3199,5.1,13,3,4.7,0.6
09/03/2019,686.44,3409,3.7,9,0.4,3.3,-1.9
10/03/2019,681.95,3521,-1,10,-0.8,2.1,-2.2
11/03/2019,1028.04,4120,0.1,10,-4.9,-2.2,-6.7
12/03/2019,991.05,4309,-1,10,-4.8,-1.3,-8.6
13/03/2019,954.79,4102,4.2,10,-3.3,-0.1,-9.1
14/03/2019,985.65,3502,0.4,14,1.4,2.6,-1.1
15/03/2019,955.39,3284,3.7,10,2.1,2.5,1.5
16/03/2019,683.53,3265,1.7,8,1.8,3.1,1.1
17/03/2019,682.79,3262,8.1,7,1.7,2.5,0.6
18/03/2019,978.36,2981,1,5,3.3,4.1,1.7
19/03/2019,975.61,3009,0.2,2,2.6,4.9,2
20/03/2019,973.52,3232,0.7,-1,1.3,3.3,-0.4
21/03/2019,990.13,2954,0.1,-1,2.9,5.3,0.9
22/03/2019,969.53,2824,-1,-1,3.9,7.4,1.2
23/03/2019,698.9,3022,0.5,-1,2.3,3.6,1.2
24/03/2019,697.66,2785,-1,-1,4,6.8,1.5
25/03/2019,1009.08,3039,0.2,-1,1.5,5.3,-0.7
26/03/2019,971.87,3238,-1,-1,0.3,3.5,-2.9
27/03/2019,955.33,3265,-1,-1,0.2,3.1,-4.1
28/03/2019,991.01,2847,-1,-1,3.6,7.4,-0.9
29/03/2019,926.03,2405,-1,-1,6.1,11.5,2.6
30/03/2019,754.25,2430,1.2,-1,5.3,10,2.8
31/03/2019,720.6,2627,1,-1,3.3,5.6,2.3
01/04/2019,1027.69,2813,-1,-1,3.5,7.8,-0.1
02/04/2019,1012.62,2764,-1,-1,3.4,6,1
03/04/2019,965.77,2447,-1,-1,6,10.8,2.1
04/04/2019,999.78,2168,-1,-1,6.6,12.5,3.5
05/04/2019,967.58,2190,-1,-1,5.8,11.6,-0.1
06/04/2019,737.87,2208,-1,-1,6.6,10.9,2.1
07/04/2019,733.11,2139,-1,-1,6.4,10.3,1
08/04/2019,985.01,2564,3.4,-1,2.3,9.5,1.3
09/04/2019,989.52,2732,2.1,-1,2.2,5.1,0.9
10/04/2019,981.94,3271,-1,-1,-0.4,2.5,-1.2
11/04/2019,997.14,3380,-1,-1,-0.3,4.3,-3.1
12/04/2019,953.71,3107,-1,-1,1.5,5,-3.6
13/04/2019,719.4,2767,-1,-1,4.5,6.4,2
14/04/2019,753,2591,-1,-1,4.9,8.9,3.2
15/04/2019,989.68,2531,-1,-1,4.7,9.1,-0.7
16/04/2019,997.43,2148,-1,-1,7.1,13.1,1.1
17/04/2019,987.63,2009,-1,-1,7,11.1,1.1
18/04/2019,1060.75,1644,-1,-1,9.2,15.8,3.9
19/04/2019,775.98,1306,-1,-1,12,17.1,4.3
20/04/2019,747.72,1596,-1,-1,9.4,13.8,5.4
21/04/2019,740.22,1953,-1,-1,6.4,9.2,3.8
22/04/2019,770.8,1523,-1,-1,9.8,14.9,4.5
23/04/2019,1000.85,1217,-1,-1,12.3,18.6,6.1
24/04/2019,1016.58,1161,-1,-1,11.9,16.8,4.8
25/04/2019,1040.93,1019,0.1,-1,13.7,17.5,8.4
26/04/2019,1032.83,1028,0.6,-1,12.2,15.3,10.1
27/04/2019,762.03,781,-1,-1,14.3,18.7,8.5
28/04/2019,753.34,1837,-1,-1,6.1,13.9,4.5
29/04/2019,997.11,1975,-1,-1,5.6,9.3,1.3
30/04/2019,973.63,1848,-1,-1,6.7,10.1,3.1
01/05/2019,781.89,1594,4.2,-1,8.3,14.4,3.4
02/05/2019,1018.99,2046,13.2,-1,4.4,7.9,2.7
03/05/2019,992.31,2603,-1,-1,2,5.2,0.3
04/05/2019,749.69,2703,6.1,-1,2.1,5.8,-0.4
05/05/2019,749.11,2339,-1,-1,4.8,8.5,-0.2
06/05/2019,1046.18,2100,-1,-1,6.7,10,3.7
07/05/2019,1006.95,1966,-1,-1,7,9.5,5.2
08/05/2019,1010.76,1878,-1,-1,7.3,11.3,4.7
09/05/2019,1010.97,1700,-1,-1,9.4,13.2,3.8
10/05/2019,981.47,1736,3.6,-1,8.4,11.6,7.7
11/05/2019,734.82,1603,8.3,-1,9.5,12,7.4
12/05/2019,719.72,1577,-1,-1,8.8,12.6,5.7
13/05/2019,1004.83,1730,-1,-1,8.6,12.3,4.9
14/05/2019,1019.14,1612,-1,-1,9,14,6.6
15/05/2019,1002.7,1399,-1,-1,10.1,13.6,5.1
16/05/2019,978.99,1138,-1,-1,11.8,16,4.9
17/05/2019,962.54,884,-1,-1,13.8,18.2,6.7
18/05/2019,732.53,583,-1,-1,15.6,20.2,8.9
19/05/2019,740.19,473,-1,-1,17.1,21,12.2
20/05/2019,1036.69,483,0.8,-1,17.3,20.5,13.9
21/05/2019,1119.86,335,-1,-1,18.3,24.5,14.8
22/05/2019,1003.47,283,0.2,-1,17.8,21.6,15.5
23/05/2019,1111.91,809,0.5,-1,12.6,17.8,9.6
24/05/2019,1080.39,1526,1.8,-1,9.3,10.5,8.2
25/05/2019,778.41,1134,0.9,-1,10.9,13.4,8.3
26/05/2019,775.16,1351,14.8,-1,9.5,11.8,8.1
27/05/2019,1000.84,1219,0.4,-1,10.5,12.9,8.9
28/05/2019,979.26,1080,3.9,-1,11.7,15.2,9
29/05/2019,975.63,946,-1,-1,12.4,16,10.8
30/05/2019,807.5,1015,3.2,-1,12.5,16.4,6.1
31/05/2019,989.59,1026,-1,-1,12.1,15.3,8.7
01/06/2019,782.75,915,2.3,-1,12.3,16.5,8.4
02/06/2019,727.51,903,-1,-1,13.4,17.8,10.1
03/06/2019,653.38,922,5.6,-1,13,16.7,7.1
04/06/2019,546.7,468,-1,-1,17.2,23.6,12.7
05/06/2019,589.73,407,-1,-1,18.7,23.1,12.7
06/06/2019,611.52,188,-1,-1,21.6,26.9,14.9
07/06/2019,716.69,143,-1,-1,21.9,26.8,18.2
08/06/2019,365,122,2.5,-1,22.1,26.5,17.3
09/06/2019,364.48,130,-1,-1,18.3,22.2,16.2
10/06/2019,685.2,414,-1,-1,16.4,19.5,13.7
11/06/2019,656.23,408,-1,-1,17,21.7,12.2
12/06/2019,655.33,589,-1,-1,15,18.7,12.6
13/06/2019,510.55,626,1.1,-1,14,16,12.2
14/06/2019,606.8,671,-1,-1,14.4,16.5,12.6
15/06/2019,333.92,529,-1,-1,16.9,21.6,13.5
16/06/2019,328.87,360,-1,-1,18.4,23.3,12.5
17/06/2019,646.68,225,-1,-1,18.5,22.4,13.6
18/06/2019,654.86,325,-1,-1,18.2,22.8,15
19/06/2019,644.7,353,-1,-1,18.8,22.6,14.1
20/06/2019,645.31,167,-1,-1,20,24.6,15
21/06/2019,626.5,132,-1,-1,20,24.5,17.2
22/06/2019,363.13,253,0.7,-1,17.3,20,14.2
23/06/2019,359.12,342,-1,-1,17.3,20.2,13.6
24/06/2019,644.5,280,-1,-1,19.5,23.8,13.9
25/06/2019,636.65,401,0.7,-1,17,20.8,11.6
26/06/2019,634.58,519,2,-1,15.1,19.5,13.5
27/06/2019,606.53,566,0.7,-1,15.8,20.1,13.6
28/06/2019,503.74,460,-1,-1,16.9,21.5,11.5
29/06/2019,214.61,430,-1,-1,15.7,21.3,10.9
30/06/2019,310.58,364,-1,-1,17.6,23.2,14.4
01/07/2019,600.17,230,0.1,-1,17.9,23.7,15.9
02/07/2019,639.29,496,22.5,-1,15.5,19.5,13.6
03/07/2019,487.44,502,-1,-1,15.2,20.6,11.9
04/07/2019,483.7,493,13.7,-1,13.9,17.7,10.2
05/07/2019,469.87,608,11.7,-1,12.9,16.5,11
06/07/2019,194.4,499,7.4,-1,13.3,19.1,10.2
07/07/2019,261.57,577,2.1,-1,14.6,18.4,10.2
08/07/2019,559.49,613,10.3,-1,15.2,19.9,13
09/07/2019,478.59,744,-1,-1,13,15.2,11.4
10/07/2019,459.74,439,-1,-1,16.8,21.4,12.2
11/07/2019,534.65,696,0.2,-1,13,19.5,11.6
12/07/2019,439.57,516,-1,-1,14.4,20,8.4
13/07/2019,207.11,413,-1,-1,16.5,21.6,13.2
14/07/2019,266.87,582,-1,-1,15.4,18.1,11.4
15/07/2019,577.04,448,0.5,-1,16.5,19.2,12.8
16/07/2019,538.75,419,3.5,-1,15.9,20,13.9
17/07/2019,473.72,331,-1,-1,17.8,22.9,13
18/07/2019,574.5,363,-1,-1,19.7,24.7,12.7
19/07/2019,603.97,279,-1,-1,19.8,25,14.7
20/07/2019,356.78,234,-1,-1,19.7,25.1,13.1
21/07/2019,357.8,147,-1,-1,20.5,25.1,14.2
22/07/2019,643.28,120,0.2,-1,20,22.5,17.9
23/07/2019,641.02,128,-1,-1,21.8,25.7,16.3
24/07/2019,648.99,123,-1,-1,23.3,28.7,16.4
25/07/2019,644.66,110,-1,-1,20.9,25.4,18.5
26/07/2019,625.06,109,-1,-1,22.2,25.6,17.4
27/07/2019,355.27,106,-1,-1,24.9,29.1,19.3
28/07/2019,363.94,104,-1,-1,25.3,33.2,20.2
29/07/2019,657.75,121,-1,-1,17.6,21.6,16.6
30/07/2019,664.61,442,-1,-1,14.5,18.5,11.5
31/07/2019,508.42,610,-1,-1,16,21.2,11.4
01/08/2019,647.76,602,-1,-1,15.1,19,11.7
02/08/2019,565.76,504,-1,-1,16.1,21.6,11.1
03/08/2019,248.94,503,-1,-1,13.8,18.3,9.8
04/08/2019,195.66,440,-1,-1,13.4,18.3,8.8
05/08/2019,537.48,429,-1,-1,16.6,23,9.4
06/08/2019,670.65,470,0.9,-1,16.9,20.3,12.6
07/08/2019,706.99,358,3,-1,17.1,19.9,15.1
08/08/2019,826.37,357,-1,-1,17.4,20.7,14.2
09/08/2019,853,372,-1,-1,17.4,21.8,14.3
10/08/2019,350.37,277,-1,-1,18.2,21.9,12.4
11/08/2019,400.59,188,4.7,-1,18,19.7,16.3
12/08/2019,905.15,223,0.1,-1,18.5,21.1,17.3
13/08/2019,923.23,287,0.5,-1,18,20.3,16.4
14/08/2019,859,295,0.1,-1,17.4,19.8,16.1
15/08/2019,874.77,423,1.2,-1,17.3,20.6,14.5
16/08/2019,866.36,415,-1,-1,16.8,20.2,12.7
17/08/2019,355,211,-1,-1,18.6,22.2,16.8
18/08/2019,397.97,200,3.7,-1,18.8,21.4,16.7
19/08/2019,901.07,228,2,-1,17.7,19.7,15.9
20/08/2019,898.24,361,-1,-1,17.8,20.5,15.1
21/08/2019,931.84,335,-1,-1,17.3,19.4,16.3
22/08/2019,906.34,490,50.2,-1,17.2,21.1,12.9
23/08/2019,904.68,515,12.3,-1,16.1,19.4,13
24/08/2019,360.06,394,-1,-1,17.3,21.4,14.4
25/08/2019,386.91,585,-1,-1,16.5,20.2,10.3
26/08/2019,927.54,374,-1,-1,19,22.6,15.3
27/08/2019,1032.79,308,-1,-1,17.9,21.2,14.1
28/08/2019,1069.4,344,-1,-1,18.8,23.1,14
29/08/2019,1073.48,259,3.5,-1,19.8,22.2,16.8
30/08/2019,1049.43,208,-1,-1,18.8,21.1,17.7
31/08/2019,744.58,301,-1,-1,17.8,20.5,14.1
01/09/2019,742.06,246,-1,-1,18.3,21.6,15.3
02/09/2019,1041.27,310,8.2,-1,17.9,22.5,14.3
03/09/2019,1098.04,432,-1,-1,15.4,18.8,12.9
04/09/2019,1108.17,436,-1,-1,16.4,20.2,11.3
05/09/2019,1087.85,425,4.9,-1,16.5,19.7,12.7
06/09/2019,1106.27,558,0.9,-1,15.1,17.2,13.5
